name,position,company,description,linkedin_url
Michael A. Silver PhD,Vice President,ERDMAN,"Vice President, ERDMAN",https://www.linkedin.com/in/silvermichael/
"Patricia J. Lenius, M.Ed.",,,Regional Vice President at Intellivisit,https://www.linkedin.com/in/patricialenius/
Tim Birkenstock,,,"Senior Vice President and CFO at Miami Childrens Hospital""",https://www.linkedin.com/in/timbirkenstock/
Ed Maher,Vice President Of Operations,ATI Physical Therapy,Vice President of Operations at ATI Physical Therapy,https://www.linkedin.com/in/ejmaher/
Satchi Hiremath,,,"Vice President, Divsion of Radiology, Aurora Health Care Medical Group at Aurora Health Care",https://www.linkedin.com/in/satchihiremath/
Gunn Veronica,,,"Vice President, Population Health Management and Payment Innovation at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/gunn-veronica-b5190a4b/
Kevin Moore,Senior Vice President Medicaid Strategy,Aurora Health Care,Senior Vice President Medicaid Strategy Aurora Health Care,https://www.linkedin.com/in/kevin-moore-2520a913/
Jennifer Atkins,Regional Vice President,"Anthem, Inc.","Regional Vice President, Provider Solutions",https://www.linkedin.com/in/jennifer-atkins-8175ab6/
Joseph Barron,Vice President,New Resources Consulting,"Vice President, Data Sciences",https://www.linkedin.com/in/josephbarron/
Tom Woller,,,"Senior Vice President, Pharmacy Services at Aurora.Health Care",https://www.linkedin.com/in/tom-woller-9a114a65/
Joe Doyle,Vice President of Sales,Healthcare Business Insights,Vice President of Sales,https://www.linkedin.com/in/joe-doyle-bbbabb55/
Jim Brooke,,,Senior Vice President / General Manager at Vizient INC.,https://www.linkedin.com/in/jim-brooke-a817896/
Bruce Radcliff,"Vice President, Sourcing Strategy",Aurora Health Care,Vice President at Aurora Health Care,https://www.linkedin.com/in/bruce-radcliff-998a865/
"Jill Berg, PhD, RN, FAAN",Vice President of Education,Ascension Health Wisconsin,Vice President of Education at Ascension Wisconsin President Columbia College of Nursing,https://www.linkedin.com/in/jill-berg-phd-rn-faan-05411440/
Scott Hochstadt,Vice President of Operations,Dycora Transitional Health and Living,Vice President of Operations,https://www.linkedin.com/in/scott-hochstadt-a71a121a/
Cheryl Hill,,,"Senior Vice President, Total Rewards at Aurora Health Care",https://www.linkedin.com/in/cheryl-hill-1465208/
Steve Biondi,,,Vice President External Relations at Extendicare,https://www.linkedin.com/in/steve-biondi-0450568/
Timothy Fischer,,,"Vice President of Sales, Core Business at RF Technologies",https://www.linkedin.com/in/timothyafischer/
Julie Jackson,,,Vice President of Operations at ProHealth Care,https://www.linkedin.com/in/julie-jackson-5b85aa19/
Mark Rountree,Senior Director Compensation (Vice President),Aurora Health Care,Vice President Compensation,https://www.linkedin.com/in/markarountree/
Bob Duncan,,,"Executive Vice President at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/bob-duncan-02458314/
Cynthia Robinson,Vice President Sales Administration,Brookdale Senior Living,Director of Sales and Marketing at Capri Senior Communities,https://www.linkedin.com/in/cynthia-robinson-7689583/
Craig Jankuski,,,Vice President Rehabilitation Services at Aurora Health Care,https://www.linkedin.com/in/craig-jankuski-9828b91/
Wendy Stulac Motzel,,,Vice President of Ambulatory Services at Froedtert & Medical College of Wisconsin,https://www.linkedin.com/in/wendystulacmotzel/
Jeff Mahan,,,Regional Vice President at Aegis Therapies,https://www.linkedin.com/in/jeff-mahan-491297b7/
Paul Mason,"Vice President, Specialty Care Division",Ascension Medical Group,"Vice President, Specialty Care Division at Ascension Medical Group - Wisconsin",https://www.linkedin.com/in/paul-mason-42029689/
Karla Ashenhurst,,,Vice President of Mission Integration at Ascension Health (Wisconsin Market),https://www.linkedin.com/in/karla-ashenhurst-43317626/
"Andy Hillig, FACHE",Vice President Performance Excellence and Project Management Office,Ascension,"Vice President, Performance Excellence and Project Management Office",https://www.linkedin.com/in/andy-hillig-fache-ab6a7b1/
Sue Dwyer,,,Senior Vice President Finance at Aurora Health Care,https://www.linkedin.com/in/sue-dwyer-876b5770/
John Walter,,,Vice President and General Manager - TELS at Direct Supply,https://www.linkedin.com/in/john-walter-296a6319/
Adam El-Ali,Vice President of EHR and Revenue Optimization,Rogers Memorial Hospital,Vice President of EHR and Revenue Optimization,https://www.linkedin.com/in/adam-el-ali-3aa5a340/
Laura Miller,,,"Vice President Planning & Office of the CEO at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/laura-miller-428a8aa/
"Tom Shanahan, SHRM-SCP, SPHR",,,"Vice President, Human Resources at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/tom-shanahan-shrm-scp-sphr-40b8b7a/
Bridget Clementi,,,"Vice President, Community Health at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/bridgetclementi/
Jane Cooper,,,"Senior Vice-President, Advocacy and Transparency Strategy at DirectPath",https://www.linkedin.com/in/jane-cooper-492b186/
Catherine M. Burns,,,"Vice President Network Strategy & Development at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/catherine-m-burns-50b59b8a/
James Grant,,,"Vice President, Technology Products and Engineering at Direct Supply",https://www.linkedin.com/in/jamesrgrant/
Karen Krammer,"Divisional Vice President, Global Finance Operations",Abbott,"Divisional Vice President, Global Finance Operations",https://www.linkedin.com/in/karen-krammer-44304982/
Gary Hovila,,,Senior Vice President - Finance & Strategy at Aurora Health Care,https://www.linkedin.com/in/gary-hovila-a0421945/
Vince Grzetich,Vice President of Business Development,Integrated Health Network of Wisconsin,Successful Vice President of Business Development - I Help Companies Translate Business Goals into Reality,https://www.linkedin.com/in/vince-grzetich-50173641/
Shawn Schaefer,"Vice President, Product and Network",UnitedHealth Group,"Vice President, Product and Network at Optum",https://www.linkedin.com/in/shawnschaefer/
"Deanna Frings, MS Ed, CPXP",,,"Vice President, Learning & Professional Development at The Beryl Institute",https://www.linkedin.com/in/deanna-frings-ms-ed-cpxp-a5204569/
Vanessa Freitag,,,Vice President Ambulatory Services and Operations Integration at Ascension,https://www.linkedin.com/in/vanessa-freitag-77a8821b/
Jenny Nelson,Vice President of Human Resources,Curative Care Network,Vice President of Human Resources at Curative Care,https://www.linkedin.com/in/jenny-nelson-a384558/
Pete McDowell,,,"Vice President, Independent Sales at Direct Supply",https://www.linkedin.com/in/pete-mcdowell-7837854/
Kate Carroll,Vice President of Marketing and Business Development,Atrium Health & Senior Living,Vice President,https://www.linkedin.com/in/kate-carroll-5b809515/
Patty Allen,,,"Central Illinois Division Controller/Vice President Finance - St.Johns at Hospital Sisters Health System""",https://www.linkedin.com/in/patty-allen-3562b314/
Christie Peterson,Vice President Human Resources,Aurora Health Care,Vice President Human Resources,https://www.linkedin.com/in/christie-peterson-80b98812/
Marcel Tetzlaff,,,Vice President of Benefits Management at Scion Dental,https://www.linkedin.com/in/marceltetzlaff/
Caryn Esten,Vice President Strategic Planning & Performance Measurement,Froedtert Health,"Vice President, Strategic Planning & Performance Measurement at Froedtert Health",https://www.linkedin.com/in/cesten/
Susan Persch,Senior Vice President,Laureate Group,Senior Vice President Laureate Group,https://www.linkedin.com/in/susan-persch-23607412/
Mark Rakowski,Vice President,"Childrens Community Health Plan""","Vice President Childrens Community Health Plan""",https://www.linkedin.com/in/mark-rakowski-a207646/
Kurt Waldhuetter,Vice President - Research Innovation & Business,Aurora Health Care - Aurora Research Institute,Vice President - Research Innovation & Business at Aurora Research Institute,https://www.linkedin.com/in/kurtwaldhuetter/
Brian Emmer,,,"Vice President of Sales and Business Development at Oakworks Medical, Inc",https://www.linkedin.com/in/brian-emmer-6ab202/
Timothy Dyer,,,Vice President & CFO at AIDS Resource Center of Wisconsin,https://www.linkedin.com/in/timothy-dyer-27669a126/
Patricia Zadra,Senior Vice President Operations | GM,Center for Diagnostic Imaging | Insight Imaging,Senior Vice President Operations | GM at Center for Diagnostic Imaging | Insight Imaging,https://www.linkedin.com/in/patriciazadra/
Bridgette Frommell,,,Vice President of Development at Wisconsin Humane Society,https://www.linkedin.com/in/bridgette-frommell-7932a56/
Phil Lewis,"Vice President, Revenue Cycle",Optum360 - A United Healthcare Company,"Vice President, Revenue Cycle at Optum360, a United Healthcare Company",https://www.linkedin.com/in/phil-lewis-5b2b1610/
Nolan Harp,"Vice President, Facilities Operations",Aurora Health Care,Vice President of Facilities Operations,https://www.linkedin.com/in/nolan-harp-08483910/
Lori Darr,"Vice President, Financial Planning",Wheaton Franciscan Healthcare,"Vice President, Financial Planning at Wheaton Franciscan Healthcare",https://www.linkedin.com/in/loridarr/
Dana Heitman,,,Vice President Life Care Solutions - Northstar Region at GE Healthcare,https://www.linkedin.com/in/dana-heitman-511bb08/
Michael Cummings,,,"Senior Vice President, Security and Loss Prevention at Aurora Health Care",https://www.linkedin.com/in/michael-cummings-7373286/
Henri Kinson,Vice President Risk Management and Internal Audit,HMS,"Vice President Risk Management and Internal Audit, CAE at HMS Holdings, Inc.",https://www.linkedin.com/in/henrikinson/
Thomas Zilavy,Senior Vice President Clinic Operations - Aurora Medical Group,Aurora Health Care,Senior Vice President Clinic Operations at Aurora Health Care,https://www.linkedin.com/in/thomas-zilavy-39101534/
Jereen Mathew,"Vice President, Operations",National Medical Billing Services,Vice President,https://www.linkedin.com/in/jereen-mathew-6a670823/
Sue Sanicola,Vice President Administrative Primary Care,Ascension,Vice President Ascension Medical Group,https://www.linkedin.com/in/sue-sanicola-53b93813/
Patrick Rath,Vice President Foundation Development,Aurora Health Care,Senior Vice President Foundation Development at Aurora Health Care,https://www.linkedin.com/in/patrickrath/
Alenia Brooks,"Vice President, Call Center Operations & Patient Services, Medical Group Operations",Aurora Health Care,"Vice President, Call Center Operations & Medical Group Patient Access at Aurora Health Care",https://www.linkedin.com/in/alenia-brooks-47723561/
Kathryn Rapala,,,"Vice President, Clinical Risk Management at Aurora Health Care",https://www.linkedin.com/in/kathryn-rapala-28617217/
"T. Orvin Fillman, DrPH",,,Vice President of Operations at Rogers Memorial Hospital,https://www.linkedin.com/in/t-orvin-fillman-drph-9062689/
Bill Zimmerman,,,Vice President at ROC Ventures,https://www.linkedin.com/in/bill-zimmerman-355a366/
Brian Croegaert,"Senior Vice President, Managed Care Solutions",Arcadia Healthcare Solutions,"Senior Vice President, Managed Care at Arcadia Healthcare Solutions",https://www.linkedin.com/in/bcroegaert/
"Richard Rogers, CRCE-I",Vice President of Strategic Services,Magnet Solutions,Vice President of Strategic Services,https://www.linkedin.com/in/rjrogers/
Jeremy Price,Vice President,ProHealth Care Medical Group,Vice President ProHealth Care Medical Group,https://www.linkedin.com/in/jeremy-price-7b06186/
Scott Johnson,Vice President of Operations - Midwest & East Coast,Rogers Behavioral Health,Vice President of Operations at Rogers Behavioral Health System,https://www.linkedin.com/in/scott-johnson-40822b2/
Mark Kilmer,Senior Vice President Operations,Genesis HealthCare,Senior Vice President Operations,https://www.linkedin.com/in/mark-kilmer-bba478111/
Shelly Waala,Vice President Patient Care Services,Froedtert Hospital,"Vice President of Patient Care Services & Chief Nursing Officer- Community Memorial Hospital and St. Josephs Hospital""",https://www.linkedin.com/in/shelly-waala-75185125/
Michael Taubenheim,Vice President of Organizational Development,"Fortis Managent Group, LLC",Vice President of Organizational Development,https://www.linkedin.com/in/michael-taubenheim-a0698b13/
Peter Garner,"Vice President, Business Development, Health System Analytics",BSG Analytics,"Vice President, Health System Analytics at BSG Analytics",https://www.linkedin.com/in/peter-garner-a017a6b/
Dallmann-Papke Vicki,"Vice President, Population Health Management",ProHealth Care,"Vice President, ProHealth Care",https://www.linkedin.com/in/dallmann-papke-vicki-664905a/
Andrew Yergens,Area Vice President- East,Sage Products,Area Vice President- Mid America at Sage Products,https://www.linkedin.com/in/andrew-yergens-07220ba/
Jason Sikorski,"Vice President, Corporate Financial Planning & Analysis",Brookdale,"Vice President, Corporate Financial Planning & Analysis at Brookdale Senior Living, Inc.",https://www.linkedin.com/in/jason-sikorski-81b26a3/
Julie Swiderski,"Vice President, Clinical Service Lines and Physician Services",Ascension,,https://www.linkedin.com/in/julie-swiderski-3a085523/
Jeff Brock,,,Area Vice President at CorVel Corporation,https://www.linkedin.com/in/jeff-brock-94234915/
Andrew Bolles,,,Vice President Business Development at CEP America,https://www.linkedin.com/in/andrew-bolles-06a004b/
Beth Anderson,,,Executive Vice President at Laureate Group,https://www.linkedin.com/in/beth-anderson-7358829/
Matthew Anderson,Vice President and Medical Director,BloodCenter of Wisconsin :: Part of Versiti,"Vice President and Medical Director, BloodCenter of Wisconsin, part of Versiti",https://www.linkedin.com/in/matthew-anderson-5a47809/
Jim Roberts,,,Vice President - Risk & Population Health Analytics at Aurora Health Care,https://www.linkedin.com/in/jimrobertsprofile/
Donnel Thompson,,,"Vice President Of National Accounts, Skilled Nursing at Direct Supply",https://www.linkedin.com/in/donnel-thompson-4756293b/
Julie Kerk,,,"Vice President, Clinical Service Lines at Froedtert and the Medical College of Wisconsin",https://www.linkedin.com/in/julie-kerk-9bb47637/
Andy Carlson,,,Vice President of Operations at COR Wellness,https://www.linkedin.com/in/ahealthystrategy/
Dawn Baumann,Vice President,Wheaton Franciscan Healthcare,Vice President of Operations at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/dawn-baumann-9868a11a/
Marianne Raymonds,,,Regional Vice President at Brookdale Senior Living,https://www.linkedin.com/in/marianne-raymonds-511b6113/
Jeff Tracy,"Vice President, Information Technology",Aurora Health Care,"Vice President, Information Services at Aurora Health Care",https://www.linkedin.com/in/jeff-tracy-a621ba11/
Janet Slater,Senior Vice President,BloodCenter of Wisconsin,"Vice President, Chief Marketing Officer, BloodCenter of Wisconsin",https://www.linkedin.com/in/janet-slater-3a210911/
John Rosing,,,Vice President and Principal at Patton Healthcare Consulting,https://www.linkedin.com/in/john-rosing-b7a0aa7/
Justin Schuler,,,Senior Vice President of Development at OnPointe,https://www.linkedin.com/in/justin-schuler-02284210/
Amy Kesler,Vice President System Communications,Aurora Health Care,Vice President System Communications at Aurora Health Care,https://www.linkedin.com/in/amy-kesler-3198a4a/
Sandy Kiehnau,,,"Vice President, Network Management at UnitedHealth Group",https://www.linkedin.com/in/sandy-kiehnau-5072b416/
Larry Lenz,,,Vice President of Managed Care Contracting at Aurora Health Care,https://www.linkedin.com/in/larry-lenz-80537815/
Lisa Slama,,,Vice President at Sg2,https://www.linkedin.com/in/lisa-slama-8997285/
Linda Puccini,,,Vice President Patient Care Services at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/linda-puccini-3339b944/
Jacqueline Gisch,Vice President Quality,Aurora Health Care,Vice President at Aurora Health Care,https://www.linkedin.com/in/jacqueline-gisch-30120933/
Michael Scholl,Vice President / Partner,Hammes Company,Regional Vice President / Partner at Hammes Company,https://www.linkedin.com/in/michael-scholl-26107525/
"Laura Spurr, MS, PMP",Vice President Strategic Collaborations,Aurora Health Care,Vice President Strategic Collaborations,https://www.linkedin.com/in/laura-spurr-ms-pmp-829aba19/
Joan Maro,,,Vice President of Operations at Aurora Health Care,https://www.linkedin.com/in/joan-maro-44674012/
Tim Renz,,,"Area Vice President, Provider Market at Teladoc",https://www.linkedin.com/in/tim-renz-78627a4/
Barbara Zak,Vice President-Ambulatory Services,Wheaton Franciscan Healthcare,Vice President at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/barbara-zak-374a473/
Julie Kallies,"Vice President Revenue Cycle, Patient Services",Aurora Health Care,"Vice President, Patient Services at Aurora Health Care",https://www.linkedin.com/in/julie-kallies-5295832/
Daniel Ross,,,Vice President of Medical Affairs at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/daniel-ross-738a0880/
Jill Purko,,,Vice President of Finance at Aurora Health Care,https://www.linkedin.com/in/jill-purko-326b9a7a/
ron boecker,,,Vice President at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/ron-boecker-8833606b/
Danielle Withers,"Vice President, Patient and Community Relations",Wheaton Franciscan Healthcare,"Vice President, Patient and Community Relations at Wheaton Franciscan Healthcare",https://www.linkedin.com/in/danielle-withers-52a25524/
Maureen Collins,"Vice President, Quality and Education",Curative Care Network,Vice President of Quality and Education at Curative Care Network,https://www.linkedin.com/in/maureencollins1/
Michael Petitt,,,Vice President of Operations - WFMG North Market at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/michael-petitt-173225b/
Marty Vogel,,,"Vice President - Principal Gifts at Childrens Hospital of Wisconsin Foundation""",https://www.linkedin.com/in/marty-vogel-149b552/
Ami Prag,Vice President Medical Affairs,Healthcare Management,Vice President Medical Affairs,https://www.linkedin.com/in/ami-prag-5865635a/
Peter Hoff,,,Regional Vice President at Shared Medical Services,https://www.linkedin.com/in/peter-hoff-32301814/
"Darcy Lorenzon, M.H.S., PMP","Vice President, Planning",ProHealth Care,"Vice President, Planning at ProHealth Care",https://www.linkedin.com/in/dlorenzon/
John Mutschelknaus,Sr. Vice President - Operations,Aurora Health Care,"Senior Vice President of Clinic Operations, Greater Milwaukee North Region, at Aurora Health Care",https://www.linkedin.com/in/john-mutschelknaus-4891b9b/
Dean Thomas,,,Senior Vice President Planning & Service Line Development at Froedtert & Medical College of Wisconsin,https://www.linkedin.com/in/dean-thomas-83969b9/
Joe McGann,,,Vice President at Accumen Inc.,https://www.linkedin.com/in/joe-mcgann-97656184/
Charles Martin,,,"Vice President, Operations Improvement at Aurora Health Care",https://www.linkedin.com/in/charles-martin-6a075621/
Jie Li,"Vice President, Physician Compensation",Aurora Health Care,Vice President Physician Compensation at Aurora Health Care,https://www.linkedin.com/in/jie-li-82520519/
Cheryl Loper,,,Vice President Coding & Compliance at Integrated Radiology Partners,https://www.linkedin.com/in/cheryl-loper-81351210/
Juliet N. Kersten,"Vice President, Service Lines, Ambulatory and Regional Services","Childrens Hospital and Health System""","Vice President, Service Lines, Ambulatory and Regional Services",https://www.linkedin.com/in/juliet-n-kersten-4694b28/
Sharon Povlich,,,Vice President-Home Health & Hospice at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/sharon-povlich-1198422a/
"Brad Kruger, MA Ed., MBA",,,"Vice President Operations - Aurora St. Lukes Medical Center at Aurora Health Care""",https://www.linkedin.com/in/bradkruger/
Mindy Brill,Vice President of Marketing,"United Financial Group, Inc.","Vice President of Marketing - United Financial Group, Inc.",https://www.linkedin.com/in/manoneconsulting/
Josh Lukkes,,,Vice President at AdvaCare Systems,https://www.linkedin.com/in/josh-lukkes-8b077a14/
Brian Grochowski,Vice President,"Gordon Scott Consulting & Investment, LLC","Vice President at Gordon Scott Consulting & Investment, LLC",https://www.linkedin.com/in/brian-grochowski-702b7616/
Kathy Cogswell,Regional Vice President,Executive Health Resources,"Regional Vice President, Sales",https://www.linkedin.com/in/kathy-cogswell-9a837811/
Ben Gramling,,,Vice President - Community Health Initiatives at Sixteenth Street Community Health Center,https://www.linkedin.com/in/ben-gramling-920990141/
Randall McKennie,,,Vice President at Aurora Health Care,https://www.linkedin.com/in/randall-mckennie-26b92477/
Carol Barr,,,"Vice President, Finance at Empathia, Inc.",https://www.linkedin.com/in/carolmbarr/
"Pam Sanborn, MBA",Vice President Finance & Analytics,Molina Healthcare of Wisconsin,Vice President Finance & Analytics at Molina Healthcare,https://www.linkedin.com/in/pam-sanborn-mba-99944712/
"Allison Hanson, MBA",,,Vice President of Sales-Central Region at ExamWorks,https://www.linkedin.com/in/allisonhansonmba/
Sara Garven,,,Vice President - Administration at Home Care Medical,https://www.linkedin.com/in/sara-garven-2179b717/
Craig Fairchild,,,"Vice President, Operations Improvement at Aurora Health Care",https://www.linkedin.com/in/craig-fairchild-a3666ba/
"Bruce Carter, CPA, CMA",,,Vice President Homecare Operations at Aurora Health Care,https://www.linkedin.com/in/bruce-carter-cpa-cma-7446404/
Robert Frediani,,,Vice President - Operations & Mission Integration at The Milwaukee Catholic Home,https://www.linkedin.com/in/robert-frediani-6a4a7a3/
Barry Wormington,Vice president sales/mktg,kreisers Inc,Vice President sales/mktg at Kreisers Inc..,https://www.linkedin.com/in/barry-wormington-a333102/
Daryl Melzer,,,Vice President at Docudox,https://www.linkedin.com/in/daryl-melzer-53654570/
Jeff Trimark,Staff Vice President,United Hospital System,Staff Vice President Chief Medical Information Officer,https://www.linkedin.com/in/jeff-trimark-94708a64/
Liz Claudio,Vice President of Operations,Sixteenth Street Community Health Center,Vice President of Operations at Sixteenth Street Community Health Centers,https://www.linkedin.com/in/liz-claudio-05aa9b62/
"Thomas Miller, MSHA, MBA",Vice President - Surgical & Diagnostic Services,"Childrens Hospital of Wisconsin""",Vice President - Surgical & Diagnostic Services,https://www.linkedin.com/in/thomas-miller-msha-mba-9598aa12/
"Lynn Fischer, RN, MBA","Vice President, Service Lines",Froedtert Health System; Froedtert and The Medical College of Wisconsin,"Vice President, Service Lines at Froedtert Health System",https://www.linkedin.com/in/lynnefischer/
Caroline Feller,Vice President of Post Acute Operations and Brain Injury Services,Lakeview Speciality Hospital and Reha,Vice President of Pos Acute Operations and Brain Injury Services at Lakeview Speciality Hospital and Reha,https://www.linkedin.com/in/caroline-feller-ba14b12b/
"Janet Schulz, MBA, FACHE",,,Senior Vice President - Consulting Division at Baird Group,https://www.linkedin.com/in/schulzjanet/
"Andrew Lochowicz, MBA","Vice President, Diagnostic Laboratory Operations",Versiti Inc.,"Vice President, Diagnostic Laboratory Operations, Versiti",https://www.linkedin.com/in/andrew-lochowicz-mba-140252107/
Martha See,Assistant Vice President Cancer Registry Services,Pyramid Healthcare Solutions,Assitant Vice President Cancer Registry Services at Pyramid Healthcare Solutions,https://www.linkedin.com/in/martha-see-a9829b17/
Barbara Thompson,Vice President Marketing,Saint Francis Healthcare System,President and CEO,https://www.linkedin.com/in/barbara-thompson/
Jamie Downing,Vice President,The Sleep Wellness Institute,President of The Sleep Wellness Institute,https://www.linkedin.com/in/jamie-downing-a712317/
Christine Bessler,"Senior Vice President - IT Consultancy, Partnerships",Aurora Health Care,"Sr. VP - IT Business Consultancy, Partnerships",https://www.linkedin.com/in/christine-bessler-97b65716/
Brittany Digmann,Vice President,Digmann International,Pediatric ICU Registered Nurse,https://www.linkedin.com/in/brittany-digmann-2a978799/
Anne Ballentine,Vice President - Communications,Rogers Behavioral Health,Corporate Communication & PR Leader supporting leaders in shaping effective communication strategy,https://www.linkedin.com/in/anne-ballentine-94557b11/
Kurt Janavitz,"Senior Vice President, Healthcare Partnerships and Strategy",Medical College of Wisconsin,Chief Executive Officer - Integrated Health Network of Wisconsin,https://www.linkedin.com/in/kurtjanavitz/
Brian Wroblewski,Executive Vice President - Sales & Marketing,ClearHealth Strategies,"EVP of Sales, ClearHealth Strategies",https://www.linkedin.com/in/brianwroblewski/
William Pennington,Vice President,The Orthopedic Institute of Wisconsin,"Orthopedic Surgeon, The Orthopedic Institute of Wisconsin, Midwest Orthopedic Specialty Hospital, Partner OSM Consulting",https://www.linkedin.com/in/william-pennington-b17b5626/
Jason Dvorak,Vice President of Sales and Marketing,OneMedNet,Sales Leadership | Business Development | Healthcare Technology Executive | Entrepreneur I Start-ups I Investor,https://www.linkedin.com/in/jason-dvorak-1bb8531/
Lisa Schairer,Vice President Operations,Aurora Health Care,"SVP, Operational Excellence at Elior North America",https://www.linkedin.com/in/lisa-schairer-78358810/
Timothy Lantz,Senior Vice President & General Manager,Sentry Data Systems,SVP/GM at Sentry Data Systems,https://www.linkedin.com/in/tlantz/
Trisha Crissman,"Vice President, Operations | COO",CHI Health at Home,"Post-Acute, Home Care and Hospice Visionary | Entrepreneurial Driver of Growth | People-Engagement",https://www.linkedin.com/in/trisha-crissman-3464134/
Erickajoy Daniels,"Senior Vice President, Diversity & Inclusion",Aurora Health Care,"Sr. V.P., Diversity & Inclusion at Aurora Health Care",https://www.linkedin.com/in/erickajoy-daniels-aa4a2018/
Lynn Grudzielanek,Divisional Vice President - Midwest Market,TriMedx,TriMedx,https://www.linkedin.com/in/lynn-grudzielanek-b56a9b1a/
Jeff Lee,"Owner, Vice President of Sales",Total Water Treatment Systems,"Owner, Total Water Treatment Systems",https://www.linkedin.com/in/jeff-lee-total-water/
Kevin Moraski,Vice President Supply Chain,Aurora Health Care,Healthcare Supply Chain Executive,https://www.linkedin.com/in/kevin-moraski-0a7841b2/
Jim Mitchell,Senior Vice President | Business Development \xe2\x96\xbaCommercial Strategy \xe2\x99\xa6 Mergers & Acquisitions,Versiti Inc.,Accomplished Corporate Executive \xe2\x99\xa6 Leadership Developer \xe2\x99\xa6 Healthcare Innovator \xe2\x99\xa6 Cycling Enthusiast \xe2\x99\xa6 Inclusive Leader,https://www.linkedin.com/in/jim-mitchell/
Tim Hug,Vice President Sales,"Bard Peripheral Vascular, Inc.",Director of Sales at Bard Peripheral Vascular,https://www.linkedin.com/in/tim-hug-4ab02a54/
"Jacob A. Velicer,RT-BLS",Vice President,Photojacob & Sportsphotojaoc,"Student at Milwaukee Area Technical College, Radiography,Associate in Applied Science Degree School of Health Sciences.",https://www.linkedin.com/in/jacob-a-velicer-rt-bls-b2806b13b/
Lowell Price,"Vice President, Sales - GE Healthcare Digital",GE Healthcare,"Proven leader of teams driving clinical, operational, and financial outcomes for healthcare providers",https://www.linkedin.com/in/lowell-price-5b85073/
Laura Jackson,Vice President of Sales and Marketing,Somna Therapeutics,VP of Sales and Marketing at Somna Therapeutics,https://www.linkedin.com/in/laurahudziak/
Samuel Wann,Vice-president,Paleocardiology Foundation Inc,"Cardiologist, Columbia St. Marys Healthcare""",https://www.linkedin.com/in/samuel-wann-78464114/
Dave Arnold,Executive Vice President,Irgens,Medical Office/Ambulatory Care Development Specialist,https://www.linkedin.com/in/dave-arnold-b6627b/
Rob McDonald,"Vice President, Inovatran",RF Technologies,Infectious Change VP with Immediate Results,https://www.linkedin.com/in/rmcdonald2/
Mark Ship,"Vice President, Global Strategic Initiatives & Commercial Excellence",Integra LifeSciences,Board Director & Business Advisor - Transforming Organizations & Accelerating Growth,https://www.linkedin.com/in/markaship/
Manuel Ferrer-Herrera,Vice President Board of Directors,Casa Guadalupe Education Center,Engineering Leader,https://www.linkedin.com/in/mferrerherrera/
Bob Schallhorn,"Senior Vice President, Solutions Management",Merge Healthcare,"SVP, Solutions Management at Merge Healthcare",https://www.linkedin.com/in/bobschallhorn/
Julie Pekarek,Vice President of Solutions Management,Merge Healthcare,Healthcare Business Executive,https://www.linkedin.com/in/juliepekarek/
Sara Russell Rodriguez,Vice President - Population Health Services,Aurora Health Care,Experienced Health Care Executive - Focused on innovative population health management solutions,https://www.linkedin.com/in/sararussellrodriguez/
Jay Kumar,Vice President Business Operations,JVS Plaza LLC,"DPC Rep - Aurora St. Lukes Medical Center at Aurora Health Care""",https://www.linkedin.com/in/jay-kumar-900027101/
Darrin Hull,Vice President of Senior Care Solutions,Health Dimensions Group,Post-Acute Health Care Executive,https://www.linkedin.com/in/darrin-hull-73b4b716/
Mike Murphy RN FACHE,Vice President - Quality and Clinical Research,Wheaton Franciscan Healthcare,Director -Patient Safety Ascension WI Hospitals,https://www.linkedin.com/in/mikemurphyrn/
Jeanne Scinto,Vice President Performance Excellence,ProHealth Care,Healthcare Executive,https://www.linkedin.com/in/jeanne-scinto-a3232114/
Sylvia Williams,Vice President of Sales and Marketing,Bevco Precision Manufacturing Company,Transformational Leader Experienced at Driving High Levels of Performance,https://www.linkedin.com/in/sylvia-williams-8088763/
Jill Schwieters,Executive Vice President/President Cielo Healthcare,Cielo (formerly Pinstripe),Healthcare & Business Executive | Authority on Transformational Strategies for Healthcare Organizations | Speaker,https://www.linkedin.com/in/jillschwieters/
"David Galbis-Reig, MD","Vice President, MD",Wisconsin Medical Society Foundation,Medical Director of Addiction Services at Ascension Wisconsin (Formerly Wheaton Franciscan Healthcare) All Saints,https://www.linkedin.com/in/david-galbis-reig-md-8403a310a/
David Wolff,Vice President of Finance,MHS Health Wisconsin (Centene),"VP, Finance - MHS Health Wisconsin (Centene)",https://www.linkedin.com/in/davidmwolff/
